name                                                                                                                                                                                                                                                                               , parse, generate, compile, error
modelset/raw-data/repo-ecore-all/data/abreslav/astrans/ru.ifmo.rain.astrans.tests/testData/interpreter/testReadonlyFeatures/expected.ecore                                                                                                            , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/abreslav/astrans/ru.ifmo.rain.astrans.tests/testData/interpreter/testReadonlyFeatures/input.ecore                                                                                                               , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/abreslav/astrans/ru.ifmo.rain.astrans.tests/testData/interpreter/testReadonlyFeatures/input.ecore: unknown builtit class URL `http://www.eclipse.org/emf/2002/Ecore#//EBigDecimal`"
                                                                                                                                                                                                                                                                                                               failed to parse structural features,,,,
                                                                                                                                                                                                                                                                                                               failed to parse class `A`,,,,
                                                                                                                                                                                                                                                                                                               line 10, column 29,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
                                                                                                                                                                                                                                                                                                               | ``,,,,
"                                                                                                                                                                                                                                                                                                               | `    <eStructuralFeatures xsi:type=""""ecore:EReference"""" name=""""rr"""" eType=""""#//A"""" changeable=""""false""""/>`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/abreslav/astrans/ru.ifmo.rain.astrans.tests/testData/interpreter/testReadonlyFeatures/output.ecore                                                                                                              , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/abreslav/astrans/ru.ifmo.rain.astrans.tests/testData/interpreter/testReadonlyFeatures/output.ecore: unsupported `eType` path `//BAS`"
                                                                                                                                                                                                                                                                                                               failed to parse structural features,,,,
                                                                                                                                                                                                                                                                                                               failed to parse class `AAS`,,,,
                                                                                                                                                                                                                                                                                                               line 4, column 100,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
                                                                                                                                                                                                                                                                                                               | ``,,,,
"                                                                                                                                                                                                                                                                                                               | `    <eStructuralFeatures xsi:type=""""ecore:EReference"""" name=""""c"""" eType=""""//BAS"""" containment=""""true""""/>`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/abreslav/astrans/ru.ifmo.rain.astrans.tests/testData/interpreter/testTranslateToPrimitive/input.ecore                                                                                                           , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/abreslav/grammatic/org.abreslav.grammatic.cfgraph/model/control-flow-graph.ecore                                                                                                                                , true , true    , true   , 
modelset/raw-data/repo-ecore-all/data/abreslav/grammatic/org.abreslav.grammatic.tester/model/test.ecore                                                                                                                                               , false, false   , false  ," ""parse: failed to parse modelset/raw-data/repo-ecore-all/data/abreslav/grammatic/org.abreslav.grammatic.tester/model/test.ecore: unexpected class content"
                                                                                                                                                                                                                                                                                                               failed to parse class `Tests`,,,,
                                                                                                                                                                                                                                                                                                               line 7, column 5,,,
                                                                                                                                                                                                                                                                                                               current parser state:,,,,
"                                                                                                                                                                                                                                                                                                               | `<eTypeParameters name=""""T"""">`",,,,
"                                                                                                                                                                                                                                                                                                               | `      <eBounds eClassifier=""""#//AbstractTest""""/>`",,,,
"                                                                                                                                                                                                                                                                                                               parsing failed""",,,,
modelset/raw-data/repo-ecore-all/data/abreslav/java2ecore/org.abreslav.java2ecore.tests/imported_model.ecore                                                                                                                                          , true , true    , true   , 
